,celltype_broad,sex,time,diet,count
0,Adipocytes,F,24W,Control,4387
1,Adipocytes,F,24W,HF,5416
2,Adipocytes,F,8W,Control,3789
3,Adipocytes,F,8W,HF,6075
4,Adipocytes,M,24W,Control,7500
5,Adipocytes,M,24W,HF,8924
6,Adipocytes,M,8W,Control,3547
7,Adipocytes,M,8W,HF,6429
8,Endothelial_Cells,F,24W,Control,1790
9,Endothelial_Cells,F,24W,HF,1697
10,Endothelial_Cells,F,8W,Control,710
11,Endothelial_Cells,F,8W,HF,967
12,Endothelial_Cells,M,24W,Control,2422
13,Endothelial_Cells,M,24W,HF,2411
14,Endothelial_Cells,M,8W,Control,588
15,Endothelial_Cells,M,8W,HF,876
16,Fibroblasts,F,24W,Control,735
17,Fibroblasts,F,24W,HF,720
18,Fibroblasts,F,8W,Control,798
19,Fibroblasts,F,8W,HF,976
20,Fibroblasts,M,24W,Control,660
21,Fibroblasts,M,24W,HF,930
22,Fibroblasts,M,8W,Control,788
23,Fibroblasts,M,8W,HF,1077
24,Immune_Cells,F,24W,Control,239
25,Immune_Cells,F,24W,HF,241
26,Immune_Cells,F,8W,Control,491
27,Immune_Cells,F,8W,HF,529
28,Immune_Cells,M,24W,Control,324
29,Immune_Cells,M,24W,HF,529
30,Immune_Cells,M,8W,Control,413
31,Immune_Cells,M,8W,HF,577
32,Mesothelial_Cells,F,24W,Control,56
33,Mesothelial_Cells,F,24W,HF,112
34,Mesothelial_Cells,F,8W,Control,321
35,Mesothelial_Cells,F,8W,HF,375
36,Mesothelial_Cells,M,24W,Control,125
37,Mesothelial_Cells,M,24W,HF,152
38,Mesothelial_Cells,M,8W,Control,212
39,Mesothelial_Cells,M,8W,HF,193
40,Neuronal_Cells,F,24W,Control,11
41,Neuronal_Cells,F,24W,HF,23
42,Neuronal_Cells,F,8W,Control,14
43,Neuronal_Cells,F,8W,HF,7
44,Neuronal_Cells,M,24W,Control,19
45,Neuronal_Cells,M,24W,HF,8
46,Neuronal_Cells,M,8W,Control,4
47,Neuronal_Cells,M,8W,HF,22
48,Pericytes,F,24W,Control,273
49,Pericytes,F,24W,HF,281
50,Pericytes,F,8W,Control,180
51,Pericytes,F,8W,HF,211
52,Pericytes,M,24W,Control,376
53,Pericytes,M,24W,HF,384
54,Pericytes,M,8W,Control,288
55,Pericytes,M,8W,HF,426
56,SMCs,F,24W,Control,43
57,SMCs,F,24W,HF,31
58,SMCs,F,8W,Control,11
59,SMCs,F,8W,HF,11
60,SMCs,M,24W,Control,31
61,SMCs,M,24W,HF,47
62,SMCs,M,8W,Control,3
63,SMCs,M,8W,HF,8
