Diet,Time_on_Diet,count,mean,std,min,25%,50%,75%,max
Control,6,5.0,2.8606000000000003,0.3267572493457489,2.419,2.745,2.808,3.043,3.288
Control,8,14.0,2.8895000000000004,1.3333231906665506,1.254,2.25125,2.5435,3.09975,5.769
Control,9,4.0,1.707,0.5147394162745522,0.983,1.58075,1.8245,1.95075,2.196
Control,11,5.0,2.8466,1.0791623140195363,1.277,2.56,2.917,3.233,4.246
Control,14,5.0,3.0232,0.6452698660250609,2.143,2.597,3.235,3.39,3.751
Control,15,9.0,2.491888888888889,0.7889384393671734,1.363,2.073,2.41,3.151,3.543
Control,22,4.0,2.38825,0.2648601832413974,2.007,2.30925,2.488,2.567,2.57
HF,6,5.0,3.0774,0.3599247143500985,2.762,2.767,3.012,3.224,3.622
HF,8,14.0,4.619285714285714,1.5541743506080363,2.69,3.34025,4.483499999999999,5.8315,7.946
HF,9,5.0,3.381,1.042427215684625,2.535,2.837,2.862,3.547,5.124
HF,11,5.0,4.4722,0.8351315465242586,3.007,4.649,4.71,4.957,5.038
HF,14,5.0,4.4018,1.1896626412559153,3.042,3.179,5.092,5.19,5.506
HF,15,10.0,4.6723,1.1966786489650798,2.922,3.539,5.172499999999999,5.56325,5.836
HF,22,5.0,4.6968000000000005,0.8354251612203213,4.023,4.035,4.234,5.411,5.781
